iteration,fitness,best_so_far,best_trial_number,best_param_0,best_param_1,best_param_2,best_param_3,best_param_4,best_param_5,best_param_6,best_param_7,best_param_8,best_param_9,best_param_10,best_param_11,best_param_12,best_param_13,best_param_14,best_param_15,best_param_16,best_param_17,best_param_18,best_param_19,best_param_20,best_param_21,best_param_22,best_param_23,best_param_24,best_param_25,best_selected_features_count
1,248.37383841883369,248.37383841883369,0,233,0.17543913817370152,0.41343831067885284,10,10.279812587101754,156,0.7682487779155124,11,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,5
2,236.00412958395628,236.00412958395628,1,199,0.19314680052290897,1.9204534305713876,2,1.4618246709602523,53,0.7028451779852919,16,0,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,11
3,285.2130339382711,236.00412958395628,1,199,0.19314680052290897,1.9204534305713876,2,1.4618246709602523,53,0.7028451779852919,16,0,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,11
4,200.46871371820268,200.46871371820268,3,450,0.1884668768733218,1.8870801640317592,2,17.02754435609425,89,0.10981900013401868,8,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,1,0,0,9
5,282.8139211613966,200.46871371820268,3,450,0.1884668768733218,1.8870801640317592,2,17.02754435609425,89,0.10981900013401868,8,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,1,0,0,9
6,248.76266039932977,200.46871371820268,3,450,0.1884668768733218,1.8870801640317592,2,17.02754435609425,89,0.10981900013401868,8,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,1,0,0,9
7,196.50560151160295,196.50560151160295,6,118,0.11340414702177529,0.72942035758477,9,9.72756630041424,107,0.6365764853830576,11,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,7
8,227.48234960960716,196.50560151160295,6,118,0.11340414702177529,0.72942035758477,9,9.72756630041424,107,0.6365764853830576,11,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,7
9,190.9577137916699,190.9577137916699,8,475,0.040339377331243424,1.7875253064645737,8,10.457592366019822,165,0.5143803433643483,4,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,10
10,220.84150160176907,190.9577137916699,8,475,0.040339377331243424,1.7875253064645737,8,10.457592366019822,165,0.5143803433643483,4,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,10
11,200.24073542229408,190.9577137916699,8,475,0.040339377331243424,1.7875253064645737,8,10.457592366019822,165,0.5143803433643483,4,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,10
12,202.33741444261995,190.9577137916699,8,475,0.040339377331243424,1.7875253064645737,8,10.457592366019822,165,0.5143803433643483,4,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,10
13,193.72652601916653,190.9577137916699,8,475,0.040339377331243424,1.7875253064645737,8,10.457592366019822,165,0.5143803433643483,4,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,10
14,198.92990552790943,190.9577137916699,8,475,0.040339377331243424,1.7875253064645737,8,10.457592366019822,165,0.5143803433643483,4,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,10
15,191.33145717631118,190.9577137916699,8,475,0.040339377331243424,1.7875253064645737,8,10.457592366019822,165,0.5143803433643483,4,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,10
16,207.41389181806466,190.9577137916699,8,475,0.040339377331243424,1.7875253064645737,8,10.457592366019822,165,0.5143803433643483,4,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,10
17,192.92010502206594,190.9577137916699,8,475,0.040339377331243424,1.7875253064645737,8,10.457592366019822,165,0.5143803433643483,4,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,10
18,211.39320214468339,190.9577137916699,8,475,0.040339377331243424,1.7875253064645737,8,10.457592366019822,165,0.5143803433643483,4,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,10
19,334.2393457728303,190.9577137916699,8,475,0.040339377331243424,1.7875253064645737,8,10.457592366019822,165,0.5143803433643483,4,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,10
20,192.72474804154754,190.9577137916699,8,475,0.040339377331243424,1.7875253064645737,8,10.457592366019822,165,0.5143803433643483,4,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,10
21,250.90962448812977,190.9577137916699,8,475,0.040339377331243424,1.7875253064645737,8,10.457592366019822,165,0.5143803433643483,4,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,10
22,190.4849540656434,190.4849540656434,21,478,0.09185876982870893,0.10600407194475955,8,8.59245413667556,125,0.21733871317842846,20,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,7
23,188.77754281804755,188.77754281804755,22,601,0.0696771972586281,0.04679999519768918,7,11.764745735326535,169,0.2169867395275219,4,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,7
24,196.8344106064849,188.77754281804755,22,601,0.0696771972586281,0.04679999519768918,7,11.764745735326535,169,0.2169867395275219,4,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,7
25,199.36290723422624,188.77754281804755,22,601,0.0696771972586281,0.04679999519768918,7,11.764745735326535,169,0.2169867395275219,4,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,7
26,195.23395157335116,188.77754281804755,22,601,0.0696771972586281,0.04679999519768918,7,11.764745735326535,169,0.2169867395275219,4,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,7
