iteration,fitness,best_so_far,best_trial_number,best_param_0,best_param_1,best_param_2,best_param_3,best_param_4,best_param_5,best_param_6,best_param_7,best_param_8,best_param_9,best_param_10,best_param_11,best_param_12,best_param_13,best_param_14,best_param_15,best_param_16,best_param_17,best_param_18,best_param_19,best_param_20,best_param_21,best_param_22,best_param_23,best_selected_features_count
1,221.4457994246713,221.4457994246713,0,0.09283903140698072,4,36,0.49179015335644916,0.4783310218787401,397,0,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,8
2,244.10305751048762,221.4457994246713,0,0.09283903140698072,4,36,0.49179015335644916,0.4783310218787401,397,0,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,8
3,348.82903601528557,221.4457994246713,0,0.09283903140698072,4,36,0.49179015335644916,0.4783310218787401,397,0,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,8
4,287.2046067352772,221.4457994246713,0,0.09283903140698072,4,36,0.49179015335644916,0.4783310218787401,397,0,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,8
5,199.29193587253198,199.29193587253198,4,0.13232996748815706,67,12,0.8934870121736938,0.8002073438276215,220,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,0,12
6,698.8276451725848,199.29193587253198,4,0.13232996748815706,67,12,0.8934870121736938,0.8002073438276215,220,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,0,12
7,387.38114090428905,199.29193587253198,4,0.13232996748815706,67,12,0.8934870121736938,0.8002073438276215,220,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,0,12
8,632.1021629867654,199.29193587253198,4,0.13232996748815706,67,12,0.8934870121736938,0.8002073438276215,220,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,0,12
9,191.26234377486617,191.26234377486617,8,0.13577388018354447,30,14,0.4495007639032832,0.9333114368576493,613,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,12
10,197.13273363022662,191.26234377486617,8,0.13577388018354447,30,14,0.4495007639032832,0.9333114368576493,613,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,12
11,201.86893104725675,191.26234377486617,8,0.13577388018354447,30,14,0.4495007639032832,0.9333114368576493,613,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,12
12,196.04483650749356,191.26234377486617,8,0.13577388018354447,30,14,0.4495007639032832,0.9333114368576493,613,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,12
