iteration,fitness,best_so_far,best_trial_number,best_param_0,best_param_1,best_param_2,best_param_3,best_param_4,best_param_5,best_param_6,best_param_7,best_param_8,best_param_9,best_param_10,best_param_11,best_param_12,best_param_13,best_param_14,best_param_15,best_param_16,best_param_17,best_param_18,best_param_19,best_param_20,best_param_21,best_param_22,best_param_23,best_param_24,best_param_25,best_param_26,best_param_27,best_selected_features_count
1,525058433.1401668,525058433.1401668,0,257,8,0.8833849171523314,0.10724225367683612,0.37876233295468376,0.9618433654293018,0.5618050410410984,1,9,1,1,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,1,10
2,1144.9705702026545,1144.9705702026545,1,92,4,0.8987837112287455,0.17501424494478107,0.7719077081263673,0.15611504408512877,0.7583330139154556,2,7,4,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,5
3,393.22031272637906,393.22031272637906,2,56,6,0.5105096337010264,0.7610412060512936,0.6588491871900695,0.6589632040199325,0.2351553707764298,2,3,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,6
4,502.2306167397974,393.22031272637906,2,56,6,0.5105096337010264,0.7610412060512936,0.6588491871900695,0.6589632040199325,0.2351553707764298,2,3,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,6
5,359.5114612127335,359.5114612127335,4,152,6,0.7662839210826946,0.6855735005040615,0.3408559501316277,0.45034415270704276,0.9147167910942816,2,3,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,7
6,247.4669887316425,247.4669887316425,5,215,10,0.2761213600227301,0.5649303645894241,0.46143478789336634,0.35093473712702594,0.6436805459541163,0,8,2,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,8
7,315.52628426554224,247.4669887316425,5,215,10,0.2761213600227301,0.5649303645894241,0.46143478789336634,0.35093473712702594,0.6436805459541163,0,8,2,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,8
8,410.3164457708027,247.4669887316425,5,215,10,0.2761213600227301,0.5649303645894241,0.46143478789336634,0.35093473712702594,0.6436805459541163,0,8,2,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,8
9,327.39513532627944,247.4669887316425,5,215,10,0.2761213600227301,0.5649303645894241,0.46143478789336634,0.35093473712702594,0.6436805459541163,0,8,2,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,8
10,311.5462088044226,247.4669887316425,5,215,10,0.2761213600227301,0.5649303645894241,0.46143478789336634,0.35093473712702594,0.6436805459541163,0,8,2,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,8
11,236.6691254922208,236.6691254922208,10,499,10,0.1732103533202083,0.9955999182659616,0.19544455200924898,0.7847085647913026,0.43537017577205994,0,15,4,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,13
12,229.0476252456223,229.0476252456223,11,497,10,0.1411303528692593,0.9802547595991936,0.10337153298464337,0.8357233614695616,0.39017802531727075,0,15,4,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,13
13,229.01464288377957,229.01464288377957,12,494,10,0.14324288801143775,0.995162019767275,0.10347401429943852,0.8306925701951371,0.42884104432011866,0,15,4,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,13
14,251.52768517917076,229.01464288377957,12,494,10,0.14324288801143775,0.995162019767275,0.10347401429943852,0.8306925701951371,0.42884104432011866,0,15,4,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,13
15,233.56341926345942,229.01464288377957,12,494,10,0.14324288801143775,0.995162019767275,0.10347401429943852,0.8306925701951371,0.42884104432011866,0,15,4,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,13
16,237.36227155857532,229.01464288377957,12,494,10,0.14324288801143775,0.995162019767275,0.10347401429943852,0.8306925701951371,0.42884104432011866,0,15,4,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,13
17,356.55307470349567,229.01464288377957,12,494,10,0.14324288801143775,0.995162019767275,0.10347401429943852,0.8306925701951371,0.42884104432011866,0,15,4,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,13
18,211.13096618721326,211.13096618721326,17,431,10,0.3989382656488459,0.9013221294477172,0.5862331919562348,0.8957299239961336,0.5150526773616814,0,15,4,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,14
19,217.5699697148026,211.13096618721326,17,431,10,0.3989382656488459,0.9013221294477172,0.5862331919562348,0.8957299239961336,0.5150526773616814,0,15,4,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,14
20,221.5411021288864,211.13096618721326,17,431,10,0.3989382656488459,0.9013221294477172,0.5862331919562348,0.8957299239961336,0.5150526773616814,0,15,4,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,14
21,358.61291270567693,211.13096618721326,17,431,10,0.3989382656488459,0.9013221294477172,0.5862331919562348,0.8957299239961336,0.5150526773616814,0,15,4,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,14
22,225.22644366191136,211.13096618721326,17,431,10,0.3989382656488459,0.9013221294477172,0.5862331919562348,0.8957299239961336,0.5150526773616814,0,15,4,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,14
23,234.28352523698433,211.13096618721326,17,431,10,0.3989382656488459,0.9013221294477172,0.5862331919562348,0.8957299239961336,0.5150526773616814,0,15,4,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,14
24,229.94522605206498,211.13096618721326,17,431,10,0.3989382656488459,0.9013221294477172,0.5862331919562348,0.8957299239961336,0.5150526773616814,0,15,4,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,14
25,335.3170194104015,211.13096618721326,17,431,10,0.3989382656488459,0.9013221294477172,0.5862331919562348,0.8957299239961336,0.5150526773616814,0,15,4,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,14
26,247.81363161354474,211.13096618721326,17,431,10,0.3989382656488459,0.9013221294477172,0.5862331919562348,0.8957299239961336,0.5150526773616814,0,15,4,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,14
27,292.1149076394895,211.13096618721326,17,431,10,0.3989382656488459,0.9013221294477172,0.5862331919562348,0.8957299239961336,0.5150526773616814,0,15,4,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,14
28,240.29347050922055,211.13096618721326,17,431,10,0.3989382656488459,0.9013221294477172,0.5862331919562348,0.8957299239961336,0.5150526773616814,0,15,4,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,14
29,206.59978049476183,206.59978049476183,28,259,4,0.27029028953312784,0.92985427451499,0.727381929164244,0.7697660846041597,0.8380390683490329,2,11,2,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,14
30,371.1716735192827,206.59978049476183,28,259,4,0.27029028953312784,0.92985427451499,0.727381929164244,0.7697660846041597,0.8380390683490329,2,11,2,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,14
31,214.89026953231223,206.59978049476183,28,259,4,0.27029028953312784,0.92985427451499,0.727381929164244,0.7697660846041597,0.8380390683490329,2,11,2,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,14
32,212.77148938878713,206.59978049476183,28,259,4,0.27029028953312784,0.92985427451499,0.727381929164244,0.7697660846041597,0.8380390683490329,2,11,2,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,14
33,215.02367235507916,206.59978049476183,28,259,4,0.27029028953312784,0.92985427451499,0.727381929164244,0.7697660846041597,0.8380390683490329,2,11,2,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,14
34,211.27746644569672,206.59978049476183,28,259,4,0.27029028953312784,0.92985427451499,0.727381929164244,0.7697660846041597,0.8380390683490329,2,11,2,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,14
35,292.6138283713226,206.59978049476183,28,259,4,0.27029028953312784,0.92985427451499,0.727381929164244,0.7697660846041597,0.8380390683490329,2,11,2,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,14
36,208.84714122980168,206.59978049476183,28,259,4,0.27029028953312784,0.92985427451499,0.727381929164244,0.7697660846041597,0.8380390683490329,2,11,2,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,14
37,255.66626560156084,206.59978049476183,28,259,4,0.27029028953312784,0.92985427451499,0.727381929164244,0.7697660846041597,0.8380390683490329,2,11,2,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,14
38,670.3643179304773,206.59978049476183,28,259,4,0.27029028953312784,0.92985427451499,0.727381929164244,0.7697660846041597,0.8380390683490329,2,11,2,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,14
39,244.54801986795792,206.59978049476183,28,259,4,0.27029028953312784,0.92985427451499,0.727381929164244,0.7697660846041597,0.8380390683490329,2,11,2,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,14
40,258.8519153651637,206.59978049476183,28,259,4,0.27029028953312784,0.92985427451499,0.727381929164244,0.7697660846041597,0.8380390683490329,2,11,2,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,14
41,241.6208642640244,206.59978049476183,28,259,4,0.27029028953312784,0.92985427451499,0.727381929164244,0.7697660846041597,0.8380390683490329,2,11,2,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,14
42,210.15051120512894,206.59978049476183,28,259,4,0.27029028953312784,0.92985427451499,0.727381929164244,0.7697660846041597,0.8380390683490329,2,11,2,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,14
43,227.52504344377112,206.59978049476183,28,259,4,0.27029028953312784,0.92985427451499,0.727381929164244,0.7697660846041597,0.8380390683490329,2,11,2,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,14
44,199.49074887249773,199.49074887249773,43,229,3,0.19491975732326958,0.7031302023261323,0.559468183723247,0.8849697724565221,0.8480494812567073,2,13,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,13
45,202.9881686553279,199.49074887249773,43,229,3,0.19491975732326958,0.7031302023261323,0.559468183723247,0.8849697724565221,0.8480494812567073,2,13,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,13
46,202.43715654949534,199.49074887249773,43,229,3,0.19491975732326958,0.7031302023261323,0.559468183723247,0.8849697724565221,0.8480494812567073,2,13,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,13
47,213.54240855666316,199.49074887249773,43,229,3,0.19491975732326958,0.7031302023261323,0.559468183723247,0.8849697724565221,0.8480494812567073,2,13,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,13
48,210.2209776552273,199.49074887249773,43,229,3,0.19491975732326958,0.7031302023261323,0.559468183723247,0.8849697724565221,0.8480494812567073,2,13,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,13
